target_id	pdb_id	status	source	reference_path	download_status	sha256	bytes	notes
T1228V1	9dxh	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	cached	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	4511253	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	cached	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	4414204	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	cached	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	4389652	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9y66	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9y66.cif	cached	b7bb600c5ddfb3f3055e633b7190f9c21de312aba251509a7f122c07ec3d1835	2274243	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1278	9hav	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	cached	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	6757227	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9haw	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9haw.cif	cached	dc7cd87f5f373fa08b777ddb0adb488950b08b18c4fa871d3a5a758f85f020f3	20432516	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAW_1 | F420-dependent glucose-6-phosphate dehydrogenase without ligand | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hax	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hax.cif	cached	26366f0c5825a8818d2f00774a3f99ad7b2c4736cfbfa622a4205163a5358437	13723589	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAX_1 | F420-dependent glucose-6-phosphate dehydrogenase | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hay	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hay.cif	cached	2b873270844ea497acaf12812bda01c5f18b3f110b51d25e19ecfddeac536c25	20687143	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAY_1 | F420-dependent glucose-6-phosphate dehydrogenase with glucose-6-phosphate | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T2278	9hav	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	cached	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	6757227	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T2278	9haw	candidate	rcsb_exact_sequence_probe	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9haw.cif	cached	dc7cd87f5f373fa08b777ddb0adb488950b08b18c4fa871d3a5a758f85f020f3	20432516	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAW_1 | F420-dependent glucose-6-phosphate dehydrogenase without ligand | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
